0,1,2,3,4,5,6
27.468,74.25,17.345999999999997,0.28,100.544,2.274,96.75
26.67,79.38,17.03,0.22,100.49,2.81,90.94
26.91,79.926,17.956,0.892,100.46,1.99,106.56
26.06,78.65,17.348000000000003,5.351999999999999,100.39,2.972,191.33800000000002
26.54,81.0,17.27,0.0,100.34,3.47,83.19
26.63,79.31,17.09,0.01,100.23,3.06,103.19
27.254,72.176,17.554,1.028,100.604,2.526,98.5
25.99,81.31,16.78,0.0,100.25,3.5,112.88
26.44,65.188,16.48,0.0,100.27,3.05,119.69
26.633999999999997,66.826,16.42,0.0,100.35,2.31,104.19
26.55,77.44,16.36,7.302,100.46600000000001,1.77,122.31
26.52,88.176,17.176,0.86,100.424,1.75,215.252
26.932,78.736,17.09,1.558,100.22,1.6,243.92399999999998
25.81,84.94,17.58,11.49,100.31,1.57,183.12
25.48,77.738,17.82,0.43,100.46,2.224,95.88
25.45,79.262,17.82,2.6019999999999994,100.418,2.7960000000000003,136.138
26.27,82.25,14.892000000000001,3.778,100.51,1.7740000000000002,169.47600000000003
26.64,75.81,16.625999999999998,2.2299999999999995,100.68,1.98,47.94
26.29,76.88,16.17,1.066,100.62,2.53,73.0
26.09,80.19,16.72,3.0340000000000003,100.29400000000001,2.71,104.62
25.9,77.62,15.87,3.3160000000000003,100.81,2.32,74.38
26.134000000000004,71.488,13.5,0.01,100.81,3.6420000000000003,78.06
26.51,70.81,17.198,1.902,100.41600000000001,2.23,222.37600000000003
26.52,74.62,15.81,0.58,100.77,2.11,71.69
26.76,82.688,19.57,7.446,100.464,3.016,81.56
26.89,79.15,17.235999999999997,10.004000000000001,100.7,2.69,145.88
25.24,83.648,16.136000000000003,4.568,100.72,2.12,56.69
26.744,72.636,16.494000000000003,2.72,100.61,2.08,191.62
26.07,74.19,15.01,0.0,100.63,1.56,137.31
25.83,89.438,15.75,0.696,100.54400000000001,1.77,157.622
26.76,70.94,15.08,0.0,100.54,1.41,147.19
27.19,79.476,15.93,9.267999999999999,100.418,2.5359999999999996,141.7
27.286,86.62,19.068000000000005,3.85,100.402,2.5380000000000003,301.69
28.338,70.236,17.345999999999997,0.25,100.55,2.21,125.5
27.17,75.3,16.11,0.33,100.44,2.7039999999999997,154.324
27.601999999999997,75.06,17.503999999999998,0.67,100.442,2.4659999999999997,143.686
27.82,56.736000000000004,14.292000000000002,0.01,100.504,2.6740000000000004,196.5
25.8,80.22200000000001,17.542,2.124,100.46,3.4619999999999997,132.676
25.93,67.12,12.88,14.058000000000002,100.35,3.349999999999999,130.12
26.88,60.29,13.462,0.0,100.55199999999999,2.578,105.19
26.77,69.69,14.47,0.04,100.6,2.1,166.88
27.547999999999995,59.438,14.918000000000001,0.0,100.646,1.948,138.36399999999998
25.97,88.624,18.618000000000002,15.132,100.27199999999999,3.518,45.19
28.0,66.326,11.17,0.0,100.98,3.1159999999999997,67.75
27.418,61.31,13.792000000000002,0.0,100.608,2.83,128.538
26.9,82.788,19.534000000000002,5.87,100.93,3.27,57.25
25.21,58.25,16.868000000000002,0.172,100.84,2.23,95.81
