0,1,2,3,4,5,6
22.738686,54.676064,13.046928,0.28,100.175285,2.2734623,96.75
26.67,79.38,17.03,0.22,100.49,2.81,90.94
26.91,67.45265,14.853494,35.765064,100.46,1.99,106.56
26.06,68.52345,15.443615,38.594692,100.39,3.9731479,161.27286
26.54,81.0,17.27,0.0,100.34,3.47,83.19
26.63,79.31,17.09,0.01,100.23,3.06,103.19
26.065884,72.31122,15.499777,40.03264,100.36182,4.1376143,98.5
25.99,81.31,16.78,0.0,100.25,3.5,112.88
26.44,71.20351,16.48,0.0,100.27,3.05,119.69
26.64477,71.552185,16.42,0.0,100.35,2.31,104.19
26.55,77.44,16.36,19.616854,100.15942,1.77,122.31
26.52,61.09645,14.976488,0.86,100.33149,1.75,120.52256
25.433151,64.153076,17.09,29.790636,100.22,1.6,149.96596
25.81,84.94,17.58,11.49,100.31,1.57,183.12
25.48,65.42316,17.82,33.920063,100.46,4.2728806,95.88
25.45,65.90192,17.82,31.99196,100.447334,4.337795,173.70735
26.27,82.25,15.852373,30.738098,100.51,4.3588133,176.01323
26.64,75.81,15.909805,29.87152,100.68,1.98,47.94
26.29,76.88,16.17,31.157246,100.62,2.53,73.0
26.09,80.19,16.72,28.851522,100.43884,4.1783814,104.62
25.9,77.62,15.87,19.711891,100.81,2.32,74.38
24.643747,66.38675,13.45232,0.01,100.81,2.9190512,78.06
26.51,70.81,14.3863945,38.1292,100.31306,2.23,145.68022
26.52,74.62,15.81,0.58,100.77,2.11,71.69
26.76,72.06496,15.262415,36.684692,100.36872,3.8812046,81.56
26.89,71.32375,15.251203,38.6761,100.7,2.69,145.88
25.24,71.35611,15.334164,39.326992,100.72,2.12,56.69
26.097784,69.13522,15.206228,42.424515,100.61,2.08,191.62
26.07,74.19,15.01,0.0,100.63,1.56,137.31
25.83,71.27193,15.75,42.231785,100.36902,1.77,162.26915
26.76,70.94,15.08,0.0,100.54,1.41,147.19
27.19,62.92695,15.93,26.212694,100.29483,2.9955425,127.06447
25.270306,86.62,15.841595,3.85,100.417206,3.1817162,301.69
25.2606,68.21476,15.851533,0.25,100.55,2.21,125.5
27.17,69.00203,16.11,35.83078,100.44,3.884211,162.59955
25.643934,75.06,15.985553,38.156815,100.44339,4.0875354,165.75197
25.455534,67.87221,16.405737,0.01,100.47068,3.6940968,196.5
25.8,67.34647,16.613216,29.60958,100.46,3.8355637,171.53366
25.93,67.12,12.88,24.866766,100.51034,3.5513358,130.12
26.88,67.86414,16.381857,0.0,100.464874,3.4844317,105.19
26.77,69.69,14.47,0.04,100.6,2.1,166.88
24.764711,62.41567,14.083923,0.0,100.2798,2.9108112,123.93614
25.97,66.748856,14.967064,34.3317,100.35427,3.3269947,45.19
25.713228,70.765884,11.17,0.0,100.98,3.7064242,67.75
26.37196,61.31,14.939653,0.0,100.33001,2.83,153.63821
26.9,71.81552,15.15108,45.288326,100.93,3.27,57.25
25.21,58.25,15.116762,47.22235,100.84,2.23,95.81
26.76,64.62,15.253821,45.538567,100.34793,4.39601,162.66698
28.23,64.12,15.208349,46.119,100.77,1.82,122.69
26.366524,64.5,15.314771,45.25799,100.61,4.561732,167.51741
23.045872,59.842285,15.26,0.07,100.47,3.07,125.81
28.9,67.75,15.87,29.603605,100.230995,3.1091416,125.56
24.992004,69.08765,14.994558,34.57171,100.55,3.84,163.70717
29.05,65.75,15.26,0.0,100.57,4.23,120.62
28.92,66.12,15.44,0.09,100.39758,4.39,116.62
29.62,61.25,15.749689,32.368893,100.40808,4.098705,92.38
29.03,63.94,15.38,1.05,100.47,2.34,85.19
26.156792,57.88,14.34,0.01,100.51,2.61,63.69
26.482075,55.06,13.67,0.1,100.44,2.48,84.81
29.99,56.75,15.392302,41.273712,100.350586,1.77,105.06
29.6,54.25,13.31,0.0,100.17203,1.85,102.69
28.9,60.449635,15.077913,0.0,100.3462,2.58,122.299065
24.937904,65.40377,15.39218,0.0,100.35,2.61,161.94
28.16,67.46814,14.22,36.88439,100.38,3.9050355,158.41425
28.41,66.31,15.01,0.0,100.36,3.09,140.69
25.539,60.38,15.526022,0.0,100.430885,4.2591,164.42477
27.99,62.81,13.31,32.907265,100.43824,4.19,120.81
25.261473,69.65469,13.06,0.0,100.4549,3.6259472,124.38
28.64,70.670166,16.100267,26.364077,100.44036,4.19,132.81
28.62,70.39449,16.264465,0.0,100.466095,3.88,158.43211
23.438673,62.94,14.22,0.0,100.51,3.4,150.06
29.62,60.69,13.797373,29.716513,100.21947,3.23,157.19
28.44,67.574234,14.557518,36.48626,100.51,3.31,156.31
25.909285,69.005424,15.192465,0.01,100.33645,3.504522,134.31
29.29,70.11277,16.54,0.04,100.359726,3.5796607,134.81
29.51,70.84921,15.628581,39.570824,100.36581,4.99,129.94
29.34,70.37423,15.361631,42.568523,100.58,5.48,132.69
29.37,67.62,15.482361,43.507816,100.35436,3.87,134.44
30.45,59.94,15.08,0.0,100.35466,3.7116728,128.44
30.14,71.5891,15.93,0.28,100.45,3.91,146.19
29.26,54.998863,15.69,17.805258,100.16977,4.16,91.73213
29.73,59.448452,14.100708,27.89997,100.41,5.19,131.69
30.02,61.822403,15.293871,0.0,100.421394,3.2988179,130.79797
29.64,63.430626,15.83869,30.290503,100.55,5.62,148.46964
25.118423,59.12,15.701944,34.916893,100.58,4.8,113.31
25.211155,68.123184,13.37,0.66,100.43789,3.8085406,110.75
30.79,70.38118,15.939194,25.918163,100.42083,4.07,109.25
26.025965,72.86363,14.89,31.593193,100.66,3.48,103.81
30.26,55.88,14.1,0.05,100.69,4.28,107.94
26.609074,73.20822,15.035005,0.37,100.61,3.92,117.94
28.24,70.31,16.48,1.9,100.59,2.89,103.12
25.072468,61.75,13.435924,2.41,100.21615,2.32,137.30501
29.44,65.0,14.672966,33.440445,100.31091,3.2406952,150.69
29.97,69.89545,15.587614,30.505749,100.39914,3.76,150.65399
28.17,69.25,16.24,25.752468,100.449974,3.77,109.25
27.59,77.94,17.52,14.17,100.37,3.5587573,105.69
28.51,73.69,17.33,0.06,100.39,5.19,117.44
29.73,67.12,16.54,0.02,100.38,5.17,123.12
30.06,66.94,16.97,0.57,100.33,4.95,130.31
30.54,67.12,15.579498,31.016886,100.26,4.58,144.38
31.29,63.75,16.78,0.0,100.2,3.41,157.94
24.830704,62.75,14.449329,0.0,100.30915,2.7715719,150.75
30.87,61.88,14.9488945,33.407486,100.49,4.96,130.56
30.85,55.0,13.67,32.430325,100.40065,5.38,120.25
25.432564,56.0,15.897379,30.254005,100.42898,4.83,115.75
30.9,59.62,15.5,0.0,100.39,5.34,132.5
31.26,58.31,15.56,0.0,100.42,3.91,146.69
25.999361,57.88,15.87,37.544353,100.37,3.33,161.32233
31.83,57.75,15.512659,38.00517,100.34,3.8,177.5
26.147661,59.69,15.2157545,42.100956,100.39031,4.273938,161.83101
23.222704,55.880753,16.54,19.609522,100.31,2.2052212,191.19
32.37,61.778606,14.132659,31.046495,100.29,2.61,206.12
30.51,64.476944,14.851849,0.16,100.39,2.89,159.06
30.05,66.06,17.09,39.625423,100.46,3.4,139.94
30.05,66.62,17.15,0.82,100.383385,3.18,146.44
31.62,68.68121,15.75,33.486244,100.38,4.101999,172.02773
26.017096,63.81,16.18255,1.69,100.433655,3.9388282,154.38
25.830013,68.65716,15.773771,1.59,100.44,4.19,125.5
25.839022,60.62,16.3,1.39,100.5,3.39,141.25
26.029747,70.48725,15.227062,46.382263,100.369446,3.26,156.35371
31.55,52.818222,12.711165,16.282932,100.16743,2.1027539,80.27592
23.905235,59.59752,17.58,25.124397,100.31763,2.6,117.313484
24.786871,59.94,16.72,33.591682,100.36701,1.84,139.45947
31.41,62.69,15.272175,34.51833,100.40969,2.7,162.38
30.5,66.81,17.46,3.49,100.53,2.49,169.31
25.65058,71.0,15.254511,41.408924,100.66,4.175702,111.31
30.37,63.5,15.3836975,38.979374,100.42,3.34,157.98254
30.59,63.25,16.42,38.75282,100.42699,3.65,159.27652
29.72,68.19,15.668093,33.217957,100.42729,3.52,131.38
25.531214,70.59342,15.595356,1.59,100.40595,4.09,153.50453
30.46,61.56,15.93,1.79,100.44,2.1359613,111.31
30.93,64.16059,13.856298,0.47,100.34,4.62,120.75
30.58,66.06,14.557873,0.81,100.26,3.3343933,130.06
28.28,67.63109,15.135417,42.31118,100.35189,2.61,122.0
29.1,76.44,18.92,44.66498,100.36355,2.58,147.38
